OPERATIVAS[Nombre Documento],OPERATIVAS[Grupo SOAP],OPERATIVAS[Equipo SOAP],OPERATIVAS[Tipo Documento SOAP],OPERATIVAS[Equipo Mesa Ágil SOAP],OPERATIVAS[Ruta archivo]
CRM-VENT-0010- COSTO DE INSTALACION - PAGO EFECTIVO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0010- COSTO DE INSTALACION - PAGO EFECTIVO.docx
CRM-VENT-0012-DESPROVISIONAR SERIES EN SISCAD_ojo.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0012-DESPROVISIONAR SERIES EN SISCAD_ojo.docx
CRM-VENT-0013-REGISTRO DE SANS ESTADOS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0013-REGISTRO DE SANS ESTADOS.docx
CRM-VENT-0014-CIERRE DE CAJA INDIVIDUAL Y GENERAL.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0014-CIERRE DE CAJA INDIVIDUAL Y GENERAL.docx
CRM-VENT-0015-RELANZAMIENTO DE SERIES Y CAMBIO DE ESTADO MSSAP.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0015-RELANZAMIENTO DE SERIES Y CAMBIO DE ESTADO MSSAP.docx
CRM-VENT-0016-MODIFICAR DATOS DEL CLIENTE_SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0016-MODIFICAR DATOS DEL CLIENTE_SICAR.docx
CRM-VENT-0017-REPRESENTANTE LEGAL EN BLANCO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0017-REPRESENTANTE LEGAL EN BLANCO.docx
CRM-VENT-0018-LIMPIAR DOCUMENTO SAP DE RENOVACION.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0018-LIMPIAR DOCUMENTO SAP DE RENOVACION.docx
CRM-VENT-0019-REGISTRAR RENTAS ADELANTADA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0019-REGISTRAR RENTAS ADELANTADA.docx
CRM-VENT-0020-BLOQUEO  DESBLOQUEO DE SERIES.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0020-BLOQUEO  DESBLOQUEO DE SERIES.docx
CRM-VENT-0021-CAMBIO DE ESTADO DE SERIES PVUDB.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0021-CAMBIO DE ESTADO DE SERIES PVUDB.docx
"CRM-VENT-0022-REGULARIZACION DE ESTADO DE SERIES (ANULADO, PENDIENTE DE PAGO a PAGADO) EN LA 3 BASES DE DATOS MSSAP- PVUDB - SISCAD.docx",CRM,Ventas,Operativas,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0022-REGULARIZACION DE ESTADO DE SERIES (ANULADO, PENDIENTE DE PAGO a PAGADO) EN LA 3 BASES DE DATOS MSSAP- PVUDB - SISCAD.docx"
CRM-VENT-0023-NO EXISTE REGISTRO DE VENTA PAGADA EN SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0023-NO EXISTE REGISTRO DE VENTA PAGADA EN SICAR.docx
"CRM-VENT-0024-EL NUM TELEF XXXXXXXX YA EXISTE, PERO CON STATUS.docx",CRM,Ventas,Operativas,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0024-EL NUM TELEF XXXXXXXX YA EXISTE, PERO CON STATUS.docx"
CRM-VENT-0025-CAMBIAR PUNTO DE VENTA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0025-CAMBIAR PUNTO DE VENTA.docx
CRM-VENT-0026-RECREAR DATOS - SISACT_INFO_VENTA_SAP.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0026-RECREAR DATOS - SISACT_INFO_VENTA_SAP.docx
CRM-VENT-0027-ACTUALIZACION CODIGO SINERGIA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0027-ACTUALIZACION CODIGO SINERGIA.docx
CRM-VENT-0028-ANULACION DE CUOTAS A DEMANDA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0028-ANULACION DE CUOTAS A DEMANDA.docx
CRM-VENT-0029-CREACION DE PAGO DE RENTAS ADELANTADAS A DEMANDA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0029-CREACION DE PAGO DE RENTAS ADELANTADAS A DEMANDA.docx
CRM-VENT-0030-REGULARIZACION DE RENTAS EN ESTADO 2 A OAC.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0030-REGULARIZACION DE RENTAS EN ESTADO 2 A OAC.docx
CRM-VENT-0031-CONTRATO SE QUEDA EN ESTADO RESERVADO O LINEA POSTPAGO NO ACTIVA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0031-CONTRATO SE QUEDA EN ESTADO RESERVADO O LINEA POSTPAGO NO ACTIVA.docx
CRM-VENT-0032-EL NUM TELEF XXXXXXXX NO EXISTE.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0032-EL NUM TELEF XXXXXXXX NO EXISTE.docx
CRM-VENT-0033-RELANZAR CUOTAS DE DISTRIBUIDORES A SAP.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0033-RELANZAR CUOTAS DE DISTRIBUIDORES A SAP.docx
CRM-VENT-0034-ASOCIAR EL CUSTOMER_ID EN LA TABLA DE RENTA ADELANTADA SISACT_DRA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0034-ASOCIAR EL CUSTOMER_ID EN LA TABLA DE RENTA ADELANTADA SISACT_DRA.docx
CRM-VENT-0035-ACUERDO EN ESTADO RESERVADO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0035-ACUERDO EN ESTADO RESERVADO.docx
CRM-VENT-0036-ERROR AL GENERAR EL ACUERDO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0036-ERROR AL GENERAR EL ACUERDO.docx
CRM-VENT-0037-MANUAL DE CUOTAS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0037-MANUAL DE CUOTAS.docx
CRM-VENT-0038-MANUAL DE USO BAJAS SANS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0038-MANUAL DE USO BAJAS SANS.docx
CRM-VENT-0039-ASIENTO DE PAGO SICAR- RELANZAR PEDIDOS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0039-ASIENTO DE PAGO SICAR- RELANZAR PEDIDOS.docx
CRM-VENT-0040-RENUMERACION DE RENTAS ADELANTADAS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0040-RENUMERACION DE RENTAS ADELANTADAS.docx
CRM-VENT-0041-REPORTE DE SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0041-REPORTE DE SICAR.docx
CRM-VENT-0042-CAMBIAR PUNTO DE VENTA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0042-CAMBIAR PUNTO DE VENTA.docx
CRM-VENT-0043-ERROR DEL PROCESO DE REPOSICION CHIP POSTPAGO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0043-ERROR DEL PROCESO DE REPOSICION CHIP POSTPAGO.docx
CRM-VENT-0044-NO PUEDE REALIZAR EL CUADRE GENERAL DE CAJA - SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0044-NO PUEDE REALIZAR EL CUADRE GENERAL DE CAJA - SICAR.docx
CRM-VENT-0045-REGISTRO DE ICCID EN SANDB.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0045-REGISTRO DE ICCID EN SANDB.docx
CRM-VENT-0046-ACTUALIZAR ESTADO 31 EN SANSDB.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0046-ACTUALIZAR ESTADO 31 EN SANSDB.docx
CRM-VENT-0047-REPOSICIÓN DE SIM PREPAGO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0047-REPOSICIÓN DE SIM PREPAGO.docx
CRM-VENT-0048-RENOVACIÓN A POST PAGO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0048-RENOVACIÓN A POST PAGO.docx
CRM-VENT-0049-MIGRACION DE PRE A POST.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0049-MIGRACION DE PRE A POST.docx
CRM-VENT-0050-INCONVENIENTES AL PORTAR UNA LINEA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0050-INCONVENIENTES AL PORTAR UNA LINEA.docx
CRM-VENT-0051-REPOSICION POSTPAGO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0051-REPOSICION POSTPAGO.docx
CRM-VENT-0052-ERROR EN EVALUACION.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0052-ERROR EN EVALUACION.docx
CRM-VENT-0053 LIMPIEZA DE TEMPORALES - MICROSOFT EDGE V2.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0053 LIMPIEZA DE TEMPORALES - MICROSOFT EDGE V2.docx
CRM-VENT-0054-INCONVENIENTES AL REALIZAR UN ALTA NUEVA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0054-INCONVENIENTES AL REALIZAR UN ALTA NUEVA.docx
"CRM-VENT-0055-LIBERAR SERIE, APARECE VENDIDA - MSSAP - PVUDB - SANS.DOCX",CRM,Ventas,Operativas,,"https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0055-LIBERAR SERIE, APARECE VENDIDA - MSSAP - PVUDB - SANS.DOCX"
CRM-VENT-0056-SISCAD Error al Conciliar (no cuadra nro material).docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0056-SISCAD Error al Conciliar (no cuadra nro material).docx
CRM-VENT-0057-PIN PORTABILIDAD RA - ERROR SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0057-PIN PORTABILIDAD RA - ERROR SICAR.docx
CRM-VENT-0058-RECREAR CUOTAS EN LA TABLA CVE.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0058-RECREAR CUOTAS EN LA TABLA CVE.docx
CRM-VENT-0059-INCONVENIENTE AL PORTAR UNA LINEA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0059-INCONVENIENTE AL PORTAR UNA LINEA.docx
CRM-VENT-0060-MANUAL DE GUIA DE EXTORNO.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0060-MANUAL DE GUIA DE EXTORNO.docx
CRM-VENT-0061-COLABORADOR EXCEDE LAS LINEAS PERMITIDAS.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/CRM-VENT-0061-COLABORADOR EXCEDE LAS LINEAS PERMITIDAS.docx
INS.IN-0001 Ventas Depuracion QUOTA Servidor Linux.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0001 Ventas Depuracion QUOTA Servidor Linux.docx
INS.IN-0002 Ventas - NO PUEDE REALIZAR EL CUADRE GENERAL DE CAJA - SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0002 Ventas - NO PUEDE REALIZAR EL CUADRE GENERAL DE CAJA - SICAR.docx
INS.IN-0003 Ventas - VALIDAR CUADRE DE CAJA.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0003 Ventas - VALIDAR CUADRE DE CAJA.docx
INS.IN-0004 Ventas - CREAR CAJEROS EN SICAR.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0004 Ventas - CREAR CAJEROS EN SICAR.docx
INS.IN-0005 Ventas - SERIES DE UNA GUIA SE ENCUENTRAN EN ESTADO C (CASO CUANDO LA GUIA ESTA CONCILIADA) Y LAS TRAE SAP.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0005 Ventas - SERIES DE UNA GUIA SE ENCUENTRAN EN ESTADO C (CASO CUANDO LA GUIA ESTA CONCILIADA) Y LAS TRAE SAP.docx
INS.IN-0006 Ventas  - CAMBIO DE ESTADO DE SERIES SISCAD - CAMBIO DE ESTADO DE LA SERIE DE L A V.docx,CRM,Ventas,Operativas,,https://globalhitss-my.sharepoint.com/personal/soapclaroperu_globalhitss_com/Documents/Base de conocimiento SOAP/Proyecto SOAP/07. CRM/7.1 Ventas/7.1.1 Operativas/7.1.1.1 Operativas/Operativas no versionadas/INS.IN-0006 Ventas  - CAMBIO DE ESTADO DE SERIES SISCAD - CAMBIO DE ESTADO DE LA SERIE DE L A V.docx
